guess,ev,max guesses,pass,time
momma,3.98877,5,0,489.49979
mount,3.63024,5,0,120.73640
mouth,3.67473,5,0,162.00296
mumps,3.87473,5,0,199.30690
mused,3.66091,5,0,36.78839
music,3.69287,5,0,170.06133
myths,3.75205,5,0,161.09874
navel,3.65616,5,0,23.65207
neigh,3.66955,5,0,139.48114
niece,3.66955,5,0,74.41776
ninth,3.77408,5,0,314.27259
north,3.61555,5,0,28.90863
noted,3.59482,5,0,20.00278
novel,3.65961,5,0,43.15356
numbs,3.75248,5,0,159.44782
oater,3.57711,5,0,8.71430
obese,3.74557,5,0,64.60839
octal,3.60605,5,0,44.44223
odors,3.75464,5,0,195.30194
ogler,3.63542,5,0,37.62755
okays,3.76760,5,0,136.83140
opals,3.61771,5,0,32.62512
opens,3.65961,5,0,43.53377
opted,3.63888,5,0,22.31368
orbed,3.62333,5,0,32.12081
order,3.70842,5,0,110.61000
outer,3.60173,5,0,21.81558
ovate,3.66739,5,0,18.39088
ovens,3.72527,5,0,66.31087
owned,3.67775,5,0,38.49234
owner,3.66177,5,0,29.35095
ozone,3.85918,5,0,198.98350
paint,3.56890,5,0,58.36687
palsy,3.59741,5,0,76.36654
paper,3.74298,5,0,33.05395
parka,3.77235,5,0,77.12250
patio,3.63585,5,0,65.33559
paver,3.67516,5,0,23.47331
peaks,3.67041,5,0,50.90880
penis,3.61339,5,0,70.05284
pests,3.75421,5,0,94.26724
picks,3.71749,5,0,117.05917
piker,3.66134,5,0,62.96644
pines,3.59222,5,0,21.04720
pinky,3.71922,5,0,191.66749
place,3.54212,5,0,16.38008
plain,3.56890,5,0,73.57753
plate,3.52570,5,0,14.54234
plays,3.63283,5,0,83.30564
plots,3.58315,5,0,49.79447
plumb,3.72397,5,0,107.97716
poesy,3.65270,5,0,45.57895
poker,3.65011,5,0,34.94442
poled,3.57797,5,0,33.35133
pooch,3.77495,5,0,178.61876
posts,3.74860,5,0,138.90600
prawn,3.63456,5,0,27.83131
pride,3.56112,5,0,41.83323
primp,3.76890,5,0,187.52736
proxy,3.76112,5,0,143.82586
pumps,3.86523,5,0,199.19334
puree,3.66220,5,0,78.26347
putty,3.80864,5,0,301.75953
quart,3.73607,5,0,80.69415
queen,3.87559,5,0,179.98632
quest,3.75594,5,0,146.34229
quips,3.83931,5,0,305.45376
quote,3.76803,5,0,109.66174
rabbi,3.79438,5,0,56.25244
raced,3.57235,5,0,15.74742
races,3.56847,5,0,7.40155
racks,3.66825,5,0,29.89204
radii,3.73866,5,0,89.00568
rails,3.55940,5,0,12.50152
rainy,3.59136,5,0,45.18641
ralph,3.61555,5,0,24.21120
ramps,3.64579,5,0,23.50587
randy,3.63326,5,0,39.19503
raped,3.58704,5,0,13.72697
rased,3.56458,5,0,6.48534
rated,3.55551,5,0,10.46657
rates,3.55551,5,0,6.30124
ratty,3.70367,5,0,62.06273
reach,3.58834,5,0,14.33689
ready,3.62030,5,0,28.94189
rebus,3.66609,5,0,22.44255
recon,3.58834,5,0,21.95219
reels,3.66048,5,0,31.87248
rehab,3.65054,5,0,18.03339
reiki,3.80821,5,0,196.55826
rhino,3.62160,5,0,90.99198
right,3.65227,5,0,49.20396
rings,3.62549,5,0,71.21208
risks,3.80734,5,0,211.11938
rodeo,3.70410,5,0,110.99984
roper,3.68985,5,0,52.71636
round,3.60950,5,0,140.83128
rugby,3.73132,5,0,154.87268
